user_id,document_id,tenant,department,can_query,can_upload,reason_code
nora,ORION-FIN-2025-001,Orion Capital,Finance,false,true,ADMIN_UPLOAD_ONLY
nora,ORION-FIN-PDF-2025-001,Orion Capital,Finance,false,true,ADMIN_UPLOAD_ONLY
nora,ORION-LEGAL-2026-001,Orion Capital,Legal,false,true,ADMIN_UPLOAD_ONLY
nora,ORION-SHARED-2026-001,Orion Capital,Shared,false,true,ADMIN_UPLOAD_ONLY
nora,ATLAS-FIN-2025-001,Atlas Investments,Finance,false,true,ADMIN_UPLOAD_ONLY
nora,ATLAS-FIN-PDF-2025-001,Atlas Investments,Finance,false,true,ADMIN_UPLOAD_ONLY
nora,ATLAS-LEGAL-2026-001,Atlas Investments,Legal,false,true,ADMIN_UPLOAD_ONLY
nora,ATLAS-SHARED-2026-001,Atlas Investments,Shared,false,true,ADMIN_UPLOAD_ONLY
alice,ORION-FIN-2025-001,Orion Capital,Finance,true,false,TENANT_DEPARTMENT_ALLOW
alice,ORION-FIN-PDF-2025-001,Orion Capital,Finance,true,false,TENANT_DEPARTMENT_ALLOW
alice,ORION-LEGAL-2026-001,Orion Capital,Legal,false,false,DEPARTMENT_DENY
alice,ORION-SHARED-2026-001,Orion Capital,Shared,true,false,TENANT_SHARED_ALLOW
alice,ATLAS-FIN-2025-001,Atlas Investments,Finance,false,false,TENANT_DENY
alice,ATLAS-FIN-PDF-2025-001,Atlas Investments,Finance,false,false,TENANT_DENY
alice,ATLAS-LEGAL-2026-001,Atlas Investments,Legal,false,false,TENANT_DENY
alice,ATLAS-SHARED-2026-001,Atlas Investments,Shared,false,false,TENANT_DENY
leo,ORION-FIN-2025-001,Orion Capital,Finance,false,false,DEPARTMENT_DENY
leo,ORION-FIN-PDF-2025-001,Orion Capital,Finance,false,false,DEPARTMENT_DENY
leo,ORION-LEGAL-2026-001,Orion Capital,Legal,true,false,TENANT_DEPARTMENT_ALLOW
leo,ORION-SHARED-2026-001,Orion Capital,Shared,true,false,TENANT_SHARED_ALLOW
leo,ATLAS-FIN-2025-001,Atlas Investments,Finance,false,false,TENANT_DENY
leo,ATLAS-FIN-PDF-2025-001,Atlas Investments,Finance,false,false,TENANT_DENY
leo,ATLAS-LEGAL-2026-001,Atlas Investments,Legal,false,false,TENANT_DENY
leo,ATLAS-SHARED-2026-001,Atlas Investments,Shared,false,false,TENANT_DENY
maya,ORION-FIN-2025-001,Orion Capital,Finance,true,false,EXPLICIT_CROSS_DEPARTMENT_GRANT
maya,ORION-FIN-PDF-2025-001,Orion Capital,Finance,true,false,EXPLICIT_CROSS_DEPARTMENT_GRANT
maya,ORION-LEGAL-2026-001,Orion Capital,Legal,true,false,EXPLICIT_CROSS_DEPARTMENT_GRANT
maya,ORION-SHARED-2026-001,Orion Capital,Shared,true,false,TENANT_SHARED_ALLOW
maya,ATLAS-FIN-2025-001,Atlas Investments,Finance,false,false,TENANT_DENY
maya,ATLAS-FIN-PDF-2025-001,Atlas Investments,Finance,false,false,TENANT_DENY
maya,ATLAS-LEGAL-2026-001,Atlas Investments,Legal,false,false,TENANT_DENY
maya,ATLAS-SHARED-2026-001,Atlas Investments,Shared,false,false,TENANT_DENY
amir,ORION-FIN-2025-001,Orion Capital,Finance,false,false,TENANT_DENY
amir,ORION-FIN-PDF-2025-001,Orion Capital,Finance,false,false,TENANT_DENY
amir,ORION-LEGAL-2026-001,Orion Capital,Legal,false,false,TENANT_DENY
amir,ORION-SHARED-2026-001,Orion Capital,Shared,false,false,TENANT_DENY
amir,ATLAS-FIN-2025-001,Atlas Investments,Finance,true,false,TENANT_DEPARTMENT_ALLOW
amir,ATLAS-FIN-PDF-2025-001,Atlas Investments,Finance,true,false,TENANT_DEPARTMENT_ALLOW
amir,ATLAS-LEGAL-2026-001,Atlas Investments,Legal,false,false,DEPARTMENT_DENY
amir,ATLAS-SHARED-2026-001,Atlas Investments,Shared,true,false,TENANT_SHARED_ALLOW
lina,ORION-FIN-2025-001,Orion Capital,Finance,false,false,TENANT_DENY
lina,ORION-FIN-PDF-2025-001,Orion Capital,Finance,false,false,TENANT_DENY
lina,ORION-LEGAL-2026-001,Orion Capital,Legal,false,false,TENANT_DENY
lina,ORION-SHARED-2026-001,Orion Capital,Shared,false,false,TENANT_DENY
lina,ATLAS-FIN-2025-001,Atlas Investments,Finance,false,false,DEPARTMENT_DENY
lina,ATLAS-FIN-PDF-2025-001,Atlas Investments,Finance,false,false,DEPARTMENT_DENY
lina,ATLAS-LEGAL-2026-001,Atlas Investments,Legal,true,false,TENANT_DEPARTMENT_ALLOW
lina,ATLAS-SHARED-2026-001,Atlas Investments,Shared,true,false,TENANT_SHARED_ALLOW
